Line|LOS|a|e|i|o|u|Ac|Ec|Ic|Oc|Uc
"Tiger-lilies—what is the one charm wanting?—Water—there is not a drop"|70|5|7|6|3|0|0|0|0|0|0
"of water there! Were Niagara but a cataract of sand, would you travel"|70|10|6|1|4|3|0|0|0|0|0
"your thousand miles to see it? Why did the poor poet of Tennessee, upon"|72|1|9|3|8|3|0|0|0|0|0
"suddenly receiving two handfuls of silver, deliberate whether to buy"|69|2|9|4|3|3|0|0|0|0|0
"him a coat, which he sadly needed, or invest his money in a pedestrian"|71|5|8|6|3|0|0|0|0|0|0
"trip to Rockaway Beach? Why is almost every robust healthy boy with a"|70|6|4|3|5|1|0|0|0|0|0
"robust healthy soul in him, at some time or other crazy to go to sea?"|70|4|5|3|8|2|0|0|0|0|0
"Why upon your first voyage as a passenger, did you yourself feel such a"|72|5|6|2|5|5|0|0|0|0|0
"mystical vibration, when first told that you and your ship were now out"|72|4|3|5|6|3|0|0|0|0|0
"of sight of land? Why did the old Persians hold the sea holy? Why did"|70|3|4|4|5|0|0|0|0|0|0
"the Greeks give it a separate deity, and own brother of Jove? Surely"|69|4|10|3|4|1|0|0|0|0|0
"all this is not without meaning. And still deeper the meaning of that"|70|4|6|6|3|1|1|0|0|0|0
"story of Narcissus, who because he could not grasp the tormenting, mild"|72|3|5|3|6|3|0|0|0|0|0
"image he saw in the fountain, plunged into it and was drowned. But that"|72|6|5|5|3|3|0|0|0|0|0
"same image, we ourselves see in all rivers and oceans. It is the image"|71|6|11|5|2|1|0|0|1|0|0
"of the ungraspable phantom of life; and this is the key to it all."|67|5|5|4|4|1|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"Now, when I say that I am in the habit of going to sea whenever I begin"|72|5|7|4|4|0|0|0|3|0|0
"to grow hazy about the eyes, and begin to be over conscious of my"|66|3|6|2|8|2|0|0|0|0|0
"lungs, I do not mean to have it inferred that I ever go to sea as a"|68|6|7|2|5|1|0|0|2|0|0
"passenger. For to go as a passenger you must needs have a purse, and a"|71|8|8|0|4|3|0|0|0|0|0
"purse is but a rag unless you have something in it. Besides, passengers"|72|4|8|5|2|4|0|0|0|0|0
"get sea-sick—grow quarrelsome—don’t sleep of nights—do not enjoy"|65|2|7|2|7|1|0|0|0|0|0
"themselves much, as a general thing;—no, I never go as a passenger;"|68|6|9|1|2|1|0|0|1|0|0
"nor, though I am something of a salt, do I ever go to sea as a"|63|6|4|1|7|1|0|0|2|0|0
"Commodore, or a Captain, or a Cook. I abandon the glory and distinction"|72|7|2|4|10|0|0|0|1|0|0
"of such offices to those who like them. For my part, I abominate all"|69|4|5|3|7|1|0|0|1|0|0
"honorable respectable toils, trials, and tribulations of every kind"|68|5|6|5|5|1|0|0|0|0|0
"whatsoever. It is quite as much as I can do to take care of myself,"|68|6|6|2|4|2|0|0|2|0|0
"without taking care of ships, barques, brigs, schooners, and what not."|71|5|3|4|5|2|0|0|0|0|0
"And as for going as cook,—though I confess there is considerable glory"|71|3|5|3|8|1|1|0|1|0|0
"in that, a cook being a sort of officer on ship-board—yet, somehow, I"|70|4|4|4|9|0|0|0|1|0|0
"never fancied broiling fowls;—though once broiled, judiciously"|63|1|5|6|6|3|0|0|0|0|0
"buttered, and judgmatically salted and peppered, there is no one who"|69|5|9|2|3|2|0|0|0|0|0
"will speak more respectfully, not to say reverentially, of a broiled"|69|4|8|3|5|1|0|0|0|0|0
"fowl than I will. It is out of the idolatrous dotings of the old"|65|2|2|4|8|2|0|0|2|0|0
"Egyptians upon broiled ibis and roasted river horse, that you see the"|70|4|7|5|5|2|0|1|0|0|0
"mummies of those creatures in their huge bake-houses the pyramids."|67|3|9|4|3|4|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"No, when I go to sea, I go as a simple sailor, right before the mast,"|70|5|6|3|6|0|0|0|2|0|0
